Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:21:57  0                   0             0            0               86658           0                  1643               0                         245      
22:21:59  0                   0             0            0               86658           0                  1643               0                         245      
22:22:01  0                   0             0            0               86658           0                  1643               0                         245      
22:22:03  0                   0             0            0               86658           0                  1643               0                         245      
22:22:05  0                   0             0            0               86658           0                  1643               0                         245      
22:22:07  0                   0             0            0               86658           0                  1643               0                         245      
22:22:09  0                   0             0            0               86658           0                  1643               0                         245      
22:22:11  0                   0             0            0               86658           0                  1643               0                         245      
22:22:13  0                   0             0            0               86658           0                  1643               0                         245      
22:22:15  0                   0             0            0               86658           0                  1643               0                         245      
22:22:17  0                   0             0            0               86658           0                  1643               0                         245      
22:22:19  0                   0             0            0               86658           0                  1643               0                         245      
22:22:21  0                   0             0            0               86658           0                  1643               0                         245      
22:22:23  0                   0             0            0               86658           0                  1643               0                         245      
22:22:25  0                   0             0            0               86658           0                  1645               0                         245      
22:22:27  0                   0             0            0               86658           0                  1645               0                         245      
22:22:29  0                   0             0            0               86658           0                  1645               0                         245      
22:22:31  0                   0             0            0               86658           0                  1645               0                         245      
22:22:33  0                   0             0            0               86658           0                  1645               0                         245      
22:22:35  0                   0             0            0               86658           0                  1653               0                         245      
22:22:37  0                   0             0            0               86658           0                  1653               0                         245      
22:22:39  0                   0             0            0               86658           0                  1653               0                         245      
22:22:41  0                   0             0            0               86658           0                  1653               0                         245      
22:22:43  0                   0             0            0               86658           0                  1653               0                         245      
22:22:45  0                   0             0            0               86658           0                  1654               0                         245      
22:22:47  0                   0             0            0               86658           0                  1654               0                         245      
22:22:49  0                   0             0            0               86658           0                  1654               0                         245      
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:22:51  0                   0             0            0               86658           0                  1654               0                         245      
22:22:53  0                   0             0            0               86658           0                  1654               0                         245      
22:22:55  0                   0             0            0               86658           0                  1654               0                         245      
22:22:57  0                   0             0            0               86658           0                  1654               0                         245      
22:22:59  0                   0             0            0               86658           0                  1654               0                         245      
22:23:01  0                   0             0            0               86658           0                  1654               0                         245      
22:23:03  0                   0             0            0               86658           0                  1654               0                         245      
22:23:05  0                   0             0            0               86658           0                  1654               0                         245      
22:23:07  0                   0             0            0               86658           0                  1654               0                         245      
22:23:09  0                   0             0            0               86658           0                  1654               0                         245      
22:23:11  0                   0             0            0               86658           0                  1654               0                         245      
22:23:13  0                   0             0            0               86658           0                  1654               0                         245      
22:23:15  0                   0             0            0               86658           0                  1654               0                         245      
22:23:17  0                   0             0            0               86658           0                  1654               0                         245      
22:23:19  0                   0             0            0               86658           0                  1654               0                         245      
