Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM    proc/s   cswch/s
05:27:17 PM      5.53  28850.25
05:27:19 PM      5.56  29436.87
05:27:21 PM      5.56  29174.75
05:27:23 PM      5.64  29609.74
05:27:25 PM      6.09  29517.26
05:27:27 PM      6.63  28527.55
05:27:29 PM     13.13  28360.61
05:27:31 PM     11.11  31874.75
05:27:33 PM      8.54  28862.81
05:27:35 PM     16.67  28031.31
05:27:37 PM     14.07  27125.63
05:27:39 PM      7.04  27302.01
05:27:41 PM      7.14  27705.61
05:27:43 PM      5.64  28521.54
05:27:45 PM     16.24  28594.42
05:27:47 PM      6.19  29107.22
05:27:49 PM      7.18  27658.97
05:27:51 PM      8.63  28907.11
05:27:53 PM      8.08  28541.92
05:27:55 PM      5.53  27931.16
05:27:57 PM      5.58  27984.26
05:27:59 PM      5.56  28283.84
05:28:01 PM      7.11  31722.84
05:28:03 PM      5.61  29489.80
05:28:05 PM      5.10  29808.67
05:28:07 PM      3.55  29794.42
05:28:09 PM      5.61  30478.57
05:28:11 PM      5.58  29049.75
05:28:13 PM      5.50  27974.50
05:28:15 PM      5.56  29380.30
05:28:17 PM      5.50  28585.50
05:28:19 PM      5.53  28465.33
05:28:21 PM      5.58  31364.97
05:28:23 PM      5.15  29847.42
05:28:25 PM      3.63  31307.77
05:28:27 PM      7.14  29907.14
05:28:29 PM     15.08  28747.24
05:28:31 PM     11.34  28281.96
05:28:33 PM      8.54  28585.43
05:28:35 PM     16.16  28775.25
05:28:37 PM     14.00  27723.00
05:28:39 PM      7.58  28131.31
05:28:41 PM      7.07  29594.44
05:28:43 PM      5.15  30829.38
05:28:45 PM     14.72  29458.38
05:28:47 PM      8.16  30293.88
05:28:49 PM      7.18  30336.92
05:28:51 PM      8.63  30214.21
05:28:53 PM      8.08  26970.20
05:28:55 PM      5.53  28028.64
05:28:57 PM      5.58  28184.77
05:28:59 PM      4.06  27615.23
05:29:01 PM      6.57  30065.15
05:29:03 PM      3.57  28811.22
05:29:05 PM      5.73  29800.00
05:29:07 PM      5.58  28379.19
05:29:09 PM      5.61  28568.88
05:29:11 PM      6.15  28103.08
05:29:13 PM      5.50  27697.50
05:29:15 PM      5.53  28332.66
05:29:17 PM      5.53  27756.78
05:29:19 PM      5.03  26982.41
05:29:21 PM      4.55  29395.96
05:29:23 PM      3.08  30913.33
05:29:25 PM      5.56  29359.60
05:29:27 PM      7.22  30342.78
05:29:29 PM     15.08  30045.73
05:29:31 PM     11.22  29048.47
05:29:33 PM      9.50  28141.00
05:29:35 PM     14.93  27603.98
05:29:37 PM     14.00  28755.00
05:29:39 PM      7.04  30551.76
05:29:41 PM      6.60  30482.23
05:29:43 PM      3.55  29355.84
05:29:45 PM     17.01  31179.38
05:29:47 PM      8.21  29232.82
05:29:49 PM      7.14  29707.65
05:29:51 PM      8.16  28609.18
05:29:53 PM      8.04  30837.69
05:29:55 PM      6.03  31229.65
05:29:57 PM      5.53  29662.31
05:29:59 PM      5.56  31256.57
05:30:01 PM      6.57  30437.88
05:30:03 PM      4.66  31273.58
05:30:05 PM      6.19  31388.66
05:30:07 PM      5.53  28871.86
05:30:09 PM      5.61  30835.71
05:30:11 PM      5.56  28551.52
05:30:13 PM      5.58  28901.52
05:30:15 PM      5.50  28254.00
05:30:17 PM      5.56  28235.35
05:30:19 PM      5.50  26513.50
05:30:21 PM      5.10  31535.71
05:30:23 PM      3.57  29789.29
05:30:25 PM      5.64  29382.56
05:30:27 PM      7.18  29787.18
05:30:29 PM     15.23  29348.22
05:30:31 PM     11.28  29863.59
05:30:33 PM     10.05  28350.25
05:30:35 PM     15.00  28274.00
05:30:37 PM     14.14  28233.84
05:30:39 PM      6.97  27856.72
05:30:41 PM      6.57  28867.68
05:30:43 PM      3.59  30387.69
05:30:45 PM     16.84  28196.43
05:30:47 PM      8.25  30022.16
05:30:49 PM      8.72  31425.64
05:30:51 PM      7.11  29615.74
05:30:53 PM      8.04  28365.83
05:30:55 PM      5.50  28688.00
05:30:57 PM      5.58  26729.95
05:30:59 PM      5.50  27689.00
05:31:01 PM      6.60  30193.91
05:31:03 PM      3.57  28603.57
05:31:05 PM      5.64  27692.82
05:31:07 PM      5.70  31229.53
05:31:09 PM      6.15  32652.31
05:31:11 PM      5.64  28407.69
05:31:13 PM      5.58  28254.31
05:31:15 PM      5.47  27627.36
05:31:17 PM      5.56  27293.43
05:31:19 PM      5.03  29644.22
05:31:21 PM      4.04  33635.86
05:31:23 PM      5.64  31828.21
05:31:25 PM      5.64  30291.79
05:31:27 PM      7.18  34061.54
05:31:29 PM     15.15  29359.60
05:31:31 PM     11.17  29228.43
05:31:33 PM      9.64  27692.89
05:31:35 PM     15.08  28492.46
05:31:37 PM     14.14  27798.99
05:31:39 PM      6.53  27763.32
05:31:41 PM      5.03  29453.27
05:31:43 PM      5.53  29051.76
05:31:45 PM     16.50  29477.50
05:31:47 PM      8.04  29344.22
05:31:49 PM      7.07  29287.37
05:31:51 PM      8.08  29326.26
05:31:53 PM      8.12  29164.97
05:31:55 PM      5.56  29678.28
05:31:57 PM      5.58  29704.06
05:31:59 PM      5.03  28914.57
05:32:01 PM      5.03  29340.20
05:32:03 PM      5.67  31527.84
05:32:05 PM      5.64  31027.69
05:32:07 PM      5.67  29934.02
05:32:09 PM      5.64  29566.67
05:32:11 PM      5.56  27630.30
05:32:13 PM      5.56  28343.94
05:32:15 PM      5.53  29656.78
05:32:17 PM      5.53  28613.07
05:32:19 PM      4.98  31536.82
05:32:21 PM      3.57  34316.33
05:32:23 PM      5.61  33475.00
05:32:25 PM      6.19  31270.10
05:32:27 PM      7.22  35421.13
05:32:29 PM     15.46  34225.26
05:32:31 PM     11.22  35408.67
05:32:33 PM     10.10  31304.04
05:32:35 PM     15.74  32765.48
05:32:37 PM     14.14  29783.84
05:32:39 PM      6.53  28672.36
05:32:41 PM      5.08  32621.83
05:32:43 PM      5.70  38819.69
05:32:45 PM     16.92  31392.82
05:32:47 PM      8.25  34653.09
05:32:49 PM      8.16  35437.24
05:32:51 PM      7.18  31979.49
05:32:53 PM      8.04  28927.64
05:32:55 PM      5.53  29031.16
05:32:57 PM      5.53  32320.60
05:32:59 PM      5.03  32310.05
05:33:01 PM      5.08  32999.49
05:33:03 PM      5.58  29051.27
05:33:05 PM      5.70  32528.50
05:33:07 PM      5.61  31440.82
05:33:09 PM      5.64  35184.62
05:33:11 PM      5.64  33294.87
05:33:13 PM      5.53  31588.44
05:33:15 PM      5.61  34151.53
05:33:17 PM      5.50  32824.50
05:33:19 PM      5.08  33147.21
05:33:21 PM      3.52  33253.27
05:33:23 PM      5.67  33050.52
05:33:25 PM      5.61  36463.78
05:33:27 PM      7.29  31892.71
05:33:29 PM     15.38  34178.46
05:33:31 PM     11.28  30688.21
05:33:33 PM     10.10  29952.02
05:33:35 PM     15.00  32238.00
05:33:37 PM     14.14  30496.97
05:33:39 PM      7.07  30242.42
05:33:41 PM      5.03  31679.40
05:33:43 PM      5.64  35514.87
05:33:45 PM     16.75  31061.42
05:33:47 PM      8.25  33205.67
05:33:49 PM      8.25  31935.05
05:33:51 PM      7.58  30982.32
05:33:53 PM      8.04  33255.28
05:33:55 PM      6.06  30775.76
05:33:57 PM      5.56  31682.32
05:33:59 PM      5.03  32967.84
05:34:01 PM      5.08  34683.25
05:34:03 PM      5.61  32385.71
05:34:05 PM      5.64  31435.38
05:34:07 PM      5.67  36902.58
05:34:09 PM      5.67  32294.33
05:34:11 PM      5.61  31093.88
05:34:13 PM      5.50  30777.50
05:34:15 PM      5.56  30486.87
05:34:17 PM      5.58  30880.71
05:34:19 PM      5.03  31633.17
05:34:21 PM      3.57  35641.33
05:34:23 PM      5.61  34251.53
05:34:25 PM      5.70  37326.94
05:34:27 PM      7.25  36531.61
05:34:29 PM     15.23  30906.60
05:34:31 PM     11.28  31896.41
05:34:33 PM      9.50  30293.00
05:34:35 PM     15.00  29472.50
05:34:37 PM     13.64  30114.65
05:34:39 PM      5.00  30627.50
05:34:41 PM      7.11  35979.19
05:34:43 PM      5.18  36688.60
05:34:45 PM     15.82  29261.73
05:34:47 PM      8.12  27177.16
05:34:49 PM      8.16  28991.84
05:34:51 PM      7.11  28001.02
05:34:53 PM      8.00  26641.50
05:34:55 PM      5.03  27300.50
05:34:57 PM      4.50  26057.50
05:34:59 PM      3.50  13657.50
05:35:01 PM      7.00   1136.50
05:35:03 PM      5.53   1165.83
05:35:05 PM      6.00   1114.50
05:35:07 PM      5.53   1118.09
05:35:09 PM      5.53   1302.01
05:35:11 PM      5.50   1107.00
05:35:13 PM      5.50   1141.50
05:35:15 PM      6.50   1167.50
05:35:17 PM      5.53   1140.20
05:35:19 PM      5.50   1131.00
05:35:21 PM      5.50   1100.00
05:35:23 PM      5.53   1129.15
05:35:25 PM      5.50   1100.50
