Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:19:38  605762317 0         0            41252           605734706  27611     
22:19:40  605786009 0         0            41252           605758398  27611     
22:19:42  605809508 0         0            41252           605781897  27611     
22:19:44  605833962 0         0            41252           605806351  27611     
22:19:46  605859517 0         0            41252           605831906  27611     
22:19:48  605882649 0         0            41252           605855038  27611     
22:19:50  605906617 0         0            41252           605879006  27611     
22:19:52  605930152 0         0            41252           605902541  27611     
22:19:54  605953719 0         0            41252           605926108  27611     
22:19:56  605974654 0         0            41252           605947043  27611     
22:19:58  605995675 0         0            41252           605968064  27611     
22:20:00  606016930 0         0            41252           605989319  27611     
22:20:02  606040511 0         0            41252           606012900  27611     
22:20:04  606061618 0         0            41252           606034007  27611     
22:20:06  606081972 0         0            41252           606054361  27611     
22:20:08  606102303 0         0            41252           606074692  27611     
22:20:10  606122546 0         0            41252           606094935  27611     
22:20:12  606143702 0         0            41252           606116091  27611     
22:20:14  606164067 0         0            41252           606136456  27611     
22:20:16  606184479 0         0            41252           606156868  27611     
22:20:18  606205327 0         0            41252           606177716  27611     
22:20:20  606226034 0         0            41252           606198423  27611     
22:20:22  606246691 0         0            41252           606219080  27611     
22:20:24  606267211 0         0            41252           606239600  27611     
22:20:26  606288221 0         0            41252           606260610  27611     
22:20:28  606310331 0         0            41252           606282720  27611     
22:20:30  606342675 0         0            41252           606315064  27611     
22:20:32  606366856 0         0            41252           606339245  27611     
22:20:34  606395575 0         0            41252           606367964  27611     
22:20:36  606417089 0         0            41252           606389478  27611     
22:20:38  606438837 0         0            41252           606411226  27611     
22:20:40  606461887 0         0            41252           606434276  27611     
22:20:42  606484063 0         0            41252           606456451  27612     
22:20:44  606511418 0         0            41252           606483806  27612     
22:20:46  606532605 0         0            41252           606504993  27612     
22:20:48  606554545 0         0            41252           606526933  27612     
22:20:50  606576531 0         0            41252           606548919  27612     
22:20:52  606598178 0         0            41252           606570566  27612     
22:20:54  606621200 0         0            41252           606593588  27612     
22:20:56  606641647 0         0            41252           606614035  27612     
22:20:58  606662151 0         0            41252           606634539  27612     
22:21:00  606682848 0         0            41252           606655236  27612     
22:21:02  606705838 0         0            41252           606678226  27612     
