Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM  active/s passive/s    iseg/s    oseg/s
05:32:23 PM      0.00      0.00  36355.90  36320.51
05:32:25 PM      0.52      0.00  37194.85  37177.32
05:32:27 PM      0.52      0.00  35792.78  35788.66
05:32:29 PM      0.00      0.00  35770.77  35722.56
05:32:31 PM      0.52      0.00  33545.88  33507.22
05:32:33 PM      0.50      0.00  35196.98  35153.27
05:32:35 PM      0.00      0.00  36195.43  36145.18
05:32:37 PM      0.51      0.00  36696.46  36673.23
05:32:39 PM      0.50      0.00  37147.24  37142.21
05:32:41 PM      0.00      0.00  36255.10  36246.43
05:32:43 PM      0.51      0.00  34819.49  34799.49
05:32:45 PM      0.52      0.00  37048.97  37034.54
05:32:47 PM      0.00      0.00  36405.13  36342.05
05:32:49 PM      0.52      0.00  35887.11  35867.01
05:32:51 PM      0.51      0.00  36209.64  36169.54
05:32:53 PM      0.00      0.00  36902.53  36904.04
05:32:55 PM      0.50      0.00  37954.27  37942.21
05:32:57 PM      0.51      0.00  36721.21  36686.36
05:32:59 PM      0.00      0.00  36263.50  36251.50
05:33:01 PM      0.51      0.00  36386.80  36352.79
05:33:03 PM      0.51      0.00  37465.99  37439.59
05:33:05 PM      0.00      0.00  36615.38  36595.90
05:33:07 PM      0.52      0.00  37060.31  37040.72
05:33:09 PM      0.51      0.00  36579.49  36532.82
05:33:11 PM      0.00      0.00  36336.92  36285.64
05:33:13 PM      0.50      0.00  36117.50  36086.50
05:33:15 PM      0.51      0.00  35255.84  35213.20
05:33:17 PM      0.00      0.00  35824.62  35790.95
05:33:19 PM      0.51      0.00  36035.86  35984.34
05:33:21 PM      0.51      0.00  35899.49  35891.41
05:33:23 PM      0.00      0.00  36930.77  36911.79
05:33:25 PM      0.51      0.00  35472.82  35465.64
05:33:27 PM      0.52      0.00  37414.58  37388.02
05:33:29 PM      0.00      0.00  35290.31  35232.65
05:33:31 PM      0.52      0.00  36120.10  36121.65
05:33:33 PM      0.50      0.00  36015.08  35981.41
05:33:35 PM      0.00      0.00  35702.53  35676.26
05:33:37 PM      0.50      0.00  36637.69  36617.59
05:33:39 PM      0.50      0.00  35401.01  35369.85
05:33:41 PM      0.00      0.00  35654.55  35641.92
05:33:43 PM      0.51      0.00  34732.31  34655.90
05:33:45 PM      0.51      0.00  35325.38  35317.26
05:33:47 PM      0.00      0.00  36994.33  36963.40
05:33:49 PM      0.52      0.00  36897.42  36868.04
05:33:51 PM      0.51      0.00  36762.44  36743.15
05:33:53 PM      0.00      0.00  35195.00  35151.50
05:33:55 PM      0.51      0.00  36656.57  36643.43
05:33:57 PM      0.50      0.00  36630.15  36603.02
05:33:59 PM      0.00      0.00  36867.68  36868.18
05:34:01 PM      0.51      0.00  34823.35  34784.26
05:34:03 PM      0.51      0.00  36568.21  36529.74
05:34:05 PM      0.00      0.00  37015.31  37009.18
05:34:07 PM      0.52      0.00  35463.40  35421.65
05:34:09 PM      0.51      0.00  37025.13  37006.15
05:34:11 PM      0.00      0.00  36659.49  36632.31
05:34:13 PM      0.50      0.00  36258.79  36228.14
05:34:15 PM      0.51      0.00  36072.73  36064.14
05:34:17 PM      0.00      0.00  35416.67  35391.92
05:34:19 PM      0.50      0.00  36075.88  36040.20
05:34:21 PM      0.51      0.00  35575.51  35555.10
05:34:23 PM      0.00      0.00  35790.82  35720.41
05:34:25 PM      0.52      0.00  35680.31  35645.60
05:34:27 PM      0.52      0.00  35553.09  35521.65
05:34:29 PM      0.00      0.00  36156.63  36135.71
05:34:31 PM      0.51      0.00  36248.21  36229.74
05:34:33 PM      0.50      0.00  35572.00  35537.50
05:34:35 PM      0.00      0.00  36250.00  36237.00
05:34:37 PM      0.50      0.00  36402.51  36383.42
