Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    proc/s   cswch/s
12:41:08 AM      0.00  13681.00
12:41:10 AM      0.00  12798.00
12:41:12 AM      0.00  13321.50
12:41:14 AM      0.00  12892.50
12:41:16 AM      0.00  13135.50
12:41:18 AM      0.00  13636.00
12:41:20 AM      0.00  13656.50
12:41:22 AM      0.00  13490.00
12:41:24 AM      0.00  13512.50
12:41:26 AM      0.00  13208.50
12:41:28 AM      0.00  13197.00
12:41:30 AM      0.00  13505.00
12:41:32 AM      0.00  13556.50
12:41:34 AM      0.00  13385.00
12:41:36 AM      0.00  13444.00
12:41:38 AM      0.00  13530.50
12:41:40 AM      0.00  13198.00
12:41:42 AM      0.00  12903.50
12:41:44 AM      0.00  13156.50
12:41:46 AM      0.00  13166.00
12:41:48 AM      0.00  13427.00
12:41:50 AM      0.00  13319.00
12:41:52 AM      0.00  13426.00
12:41:54 AM      0.00  13486.00
12:41:56 AM      0.00  13349.00
12:41:58 AM      0.00  13284.50
12:42:00 AM      0.00  13081.59
12:42:02 AM      0.00  11615.00
12:42:04 AM      0.00  13066.00
12:42:06 AM      0.00  13365.50
12:42:08 AM      0.00  13285.50
12:42:10 AM      0.00  12902.50
12:42:12 AM      0.00  13511.50
12:42:14 AM      0.00  12954.50
12:42:16 AM      0.00  13037.50
12:42:18 AM      0.00  13270.00
12:42:20 AM      0.00  13127.00
12:42:22 AM      0.00  13513.50
12:42:24 AM      0.00  12624.50
12:42:26 AM      0.00  13107.00
12:42:28 AM      0.00  13193.00
12:42:30 AM      0.00  13414.50
12:42:32 AM      0.00  13224.50
12:42:34 AM      0.00  13141.50
12:42:36 AM      0.00  13208.50
12:42:38 AM      0.00  13376.50
12:42:40 AM      0.00  12769.50
12:42:42 AM      0.00  13527.50
12:42:44 AM      0.00  13428.50
12:42:46 AM      0.00  13348.00
12:42:48 AM      0.50   8298.50
12:42:50 AM    101.00  12807.00
12:42:52 AM      0.00  16936.50
12:42:54 AM      0.00  17783.00
12:42:56 AM      0.00  15035.00
12:42:58 AM      0.00  16940.80
12:43:00 AM      0.00  19873.50
12:43:02 AM      0.00  15497.00
12:43:04 AM      0.00  16107.50
12:43:06 AM      0.00  16583.50
12:43:08 AM      0.00  15968.81
12:43:10 AM      0.00  16032.00
12:43:12 AM      0.00  15664.50
12:43:14 AM      0.00  17030.00
12:43:16 AM      0.00  17543.50
12:43:18 AM      0.00  15085.50
12:43:20 AM      0.00  16144.12
12:43:22 AM      0.00  18142.65
12:43:24 AM      0.00  16965.50
12:43:26 AM      0.00  16139.00
12:43:28 AM      0.00  16286.00
12:43:30 AM      0.00  16955.50
12:43:32 AM      0.00  16448.00
12:43:34 AM      0.00  17589.50
12:43:36 AM      0.00  16388.50
12:43:38 AM      0.00  16316.00
12:43:40 AM      0.00  17299.00
12:43:42 AM      0.00  16525.50
12:43:44 AM      0.00  16262.00
12:43:46 AM      0.00  14992.00
12:43:48 AM      0.00  17294.06
12:43:50 AM      0.00  16847.00
12:43:52 AM      0.00  13636.50
12:43:54 AM      0.00  16390.50
12:43:56 AM      0.00  17410.00
12:43:58 AM      0.00  17465.50
12:44:00 AM      0.00  16639.00
12:44:02 AM      0.00  16368.50
12:44:04 AM      0.00  17359.50
12:44:06 AM      0.00  15053.43
12:44:08 AM      0.00  18282.50
12:44:10 AM      0.00  15732.50
12:44:12 AM      0.00  16900.50
12:44:14 AM      0.00  16108.50
12:44:16 AM      0.00  17618.54
12:44:18 AM      0.00  17346.50
12:44:20 AM      0.00  16614.50
12:44:22 AM      0.00  14010.50
12:44:25 AM      0.00  15316.83
12:44:27 AM      0.00  14620.50
12:44:29 AM      0.00  15473.27
12:44:31 AM      0.00  14431.34
12:44:33 AM      0.00  16550.00
12:44:35 AM      0.00  16999.50
12:44:37 AM      0.00  14269.00
12:44:39 AM      0.00  15872.50
12:44:41 AM      0.00  16530.50
12:44:43 AM      0.00  16733.00
12:44:45 AM      0.00  17590.05
12:44:47 AM      0.00  17288.56
12:44:49 AM      8.50  12140.00
