Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
12:37:50 AM       118        59         5         0         0         2
12:37:52 AM       118        59         5         0         0         2
12:37:54 AM       118        59         5         0         0         2
12:37:56 AM       118        59         5         0         0         1
12:37:58 AM       118        59         5         0         0         1
12:38:00 AM       118        59         5         0         0         1
12:38:02 AM       118        59         5         0         0         2
12:38:04 AM       118        59         5         0         0         2
12:38:06 AM       118        59         5         0         0         2
12:38:08 AM       118        59         5         0         0         2
12:38:10 AM       118        59         5         0         0         2
12:38:12 AM       118        59         5         0         0         2
12:38:14 AM       118        59         5         0         0         2
12:38:16 AM       118        59         5         0         0         2
12:38:18 AM       118        59         5         0         0         2
12:38:20 AM       118        59         5         0         0         2
12:38:22 AM       118        59         5         0         0         2
12:38:24 AM       118        59         5         0         0         2
12:38:26 AM       118        59         5         0         0         1
12:38:28 AM       118        59         5         0         0         1
12:38:30 AM       118        59         5         0         0         1
12:38:32 AM       118        59         5         0         0         2
12:38:34 AM       118        59         5         0         0         2
12:38:36 AM       118        59         5         0         0         2
12:38:38 AM       118        59         5         0         0         2
12:38:40 AM       118        59         5         0         0         2
12:38:42 AM       118        59         5         0         0         2
12:38:44 AM       118        59         5         0         0         2
12:38:46 AM       118        59         5         0         0         2
12:38:48 AM       129        70         5         0         0         2
12:38:50 AM       129        70         5         0         0         2
12:38:52 AM       129        70         5         0         0         2
12:38:54 AM       129        70         5         0         0         2
12:38:56 AM       129        70         5         0         0         1
12:38:58 AM       128        69         5         0         0         1
12:39:00 AM       128        69         5         0         0         1
12:39:02 AM       128        69         5         0         0         2
12:39:04 AM       128        69         5         0         0         2
12:39:06 AM       128        69         5         0         0         2
12:39:08 AM       128        69         5         0         0         2
12:39:10 AM       128        69         5         0         0         2
12:39:12 AM       128        69         5         0         0         2
12:39:14 AM       128        69         5         0         0         2
12:39:16 AM       128        69         5         0         0         2
12:39:18 AM       128        69         5         0         0         2
12:39:20 AM       128        69         5         0         0         2
12:39:22 AM       128        69         5         0         0         2
12:39:24 AM       128        69         5         0         0         2
12:39:26 AM       128        69         5         0         0         1
12:39:28 AM       128        69         5         0         0         1
12:39:30 AM       128        69         5         0         0         1
12:39:32 AM       128        69         5         0         0         2
12:39:34 AM       128        69         5         0         0         2
12:39:36 AM       128        69         5         0         0         2
12:39:38 AM       128        69         5         0         0         2
12:39:40 AM       128        69         5         0         0         2
12:39:42 AM       128        69         5         0         0         2
12:39:44 AM       128        69         5         0         0         2
12:39:46 AM       128        69         5         0         0         2
12:39:48 AM       128        69         5         0         0         2
12:39:50 AM       128        69         5         0         0         2
12:39:52 AM       128        69         5         0         0         2
12:39:54 AM       128        69         5         0         0         2
12:39:56 AM       128        69         5         0         0         1
12:39:58 AM       128        69         5         0         0         1
12:40:00 AM       128        69         5         0         0         1
12:40:02 AM       128        69         5         0         0         2
12:40:04 AM       128        69         5         0         0         2
12:40:06 AM       128        69         5         0         0         2
12:40:08 AM       128        69         5         0         0         2
12:40:10 AM       128        69         5         0         0         2
12:40:12 AM       128        69         5         0         0         2
12:40:14 AM       128        69         5         0         0         2
12:40:16 AM       128        69         5         0         0         2
12:40:18 AM       128        69         5         0         0         2
12:40:20 AM       128        69         5         0         0         2
12:40:22 AM       128        69         5         0         0         2
12:40:24 AM       128        69         5         0         0         2
12:40:26 AM       128        69         5         0         0         1
12:40:28 AM       128        69         5         0         0         1
12:40:30 AM       128        69         5         0         0         1
12:40:32 AM       128        69         5         0         0         2
12:40:34 AM       128        69         5         0         0         2
12:40:36 AM       128        69         5         0         0         2
12:40:38 AM       128        69         5         0         0         2
12:40:40 AM       128        69         5         0         0         2
12:40:42 AM       128        69         5         0         0         2
12:40:44 AM       128        69         5         0         0         2
12:40:46 AM       128        69         5         0         0         2
12:40:48 AM       166       107         5         0         0         2
12:40:50 AM       169       110         5         0         0         2
12:40:52 AM       169       110         5         0         0         2
12:40:54 AM       169       110         5         0         0         2
12:40:56 AM       169       110         5         0         0         1
12:40:58 AM       168       109         5         0         0         1
12:41:00 AM       168       109         5         0         0         1
12:41:02 AM       168       109         5         0         0         2
12:41:04 AM       168       109         5         0         0         2
12:41:06 AM       168       109         5         0         0         2
12:41:08 AM       168       109         5         0         0         2
12:41:10 AM       168       109         5         0         0         2
12:41:12 AM       168       109         5         0         0         2
12:41:14 AM       168       109         5         0         0         2
12:41:16 AM       168       109         5         0         0         2
12:41:18 AM       168       109         5         0         0         2
12:41:20 AM       168       109         5         0         0         2
12:41:22 AM       168       109         5         0         0         2
12:41:24 AM       168       109         5         0         0         2
12:41:26 AM       168       109         5         0         0         1
12:41:28 AM       168       109         5         0         0         1
12:41:30 AM       168       109         5         0         0         1
12:41:32 AM       168       109         5         0         0         2
12:41:34 AM       168       109         5         0         0         2
12:41:36 AM       168       109         5         0         0         2
12:41:38 AM       168       109         5         0         0         2
12:41:40 AM       168       109         5         0         0         2
12:41:42 AM       168       109         5         0         0         2
12:41:44 AM       168       109         5         0         0         2
12:41:46 AM       168       109         5         0         0         2
12:41:48 AM       168       109         5         0         0         2
12:41:50 AM       168       109         5         0         0         2
12:41:52 AM       168       109         5         0         0         2
12:41:54 AM       168       109         5         0         0         2
12:41:56 AM       168       109         5         0         0         1
12:41:58 AM       168       109         5         0         0         1
12:42:00 AM       168       109         5         0         0         1
12:42:02 AM       168       109         5         0         0         2
12:42:04 AM       168       109         5         0         0         2
12:42:06 AM       168       109         5         0         0         2
12:42:08 AM       168       109         5         0         0         2
12:42:10 AM       168       109         5         0         0         2
12:42:12 AM       168       109         5         0         0         2
12:42:14 AM       168       109         5         0         0         2
12:42:16 AM       168       109         5         0         0         2
12:42:18 AM       168       109         5         0         0         2
12:42:20 AM       168       109         5         0         0         2
12:42:22 AM       168       109         5         0         0         2
12:42:24 AM       168       109         5         0         0         2
12:42:26 AM       168       109         5         0         0         1
12:42:28 AM       168       109         5         0         0         1
12:42:30 AM       168       109         5         0         0         1
12:42:32 AM       168       109         5         0         0         2
12:42:34 AM       168       109         5         0         0         2
