Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:23:48 AM     all      0.26      0.00      0.26      0.00      0.00      0.00      0.00      0.00     99.49
12:23:50 AM     all      0.25      0.00      0.25      0.25      2.72      0.00      0.00      0.00     96.54
12:23:52 AM     all      0.00      0.00      0.50      0.00      1.50      0.00      0.00      0.00     97.99
12:23:54 AM     all      0.25      0.00      0.50      0.00      2.48      0.00      0.00      0.00     96.78
12:23:56 AM     all      0.25      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.49
12:23:58 AM     all      0.00      0.00      0.98      0.00      3.19      0.00      0.25      0.00     95.59
12:24:00 AM     all      0.25      0.00      0.76      0.00      0.00      0.00      0.25      0.00     98.74
12:24:02 AM     all      0.25      0.00      0.25      0.25      1.50      0.00      0.50      0.00     97.25
12:24:04 AM     all      0.25      0.00      0.50      0.00      1.49      0.00      0.00      0.00     97.76
12:24:06 AM     all      0.25      0.00      0.50      0.00      1.50      0.00      0.00      0.00     97.75
12:24:08 AM     all      0.00      0.00      0.26      0.00      0.00      0.00      0.00      0.00     99.74
12:24:10 AM     all     16.87      0.00      0.74      0.00      6.95      0.00      0.00      0.00     75.43
12:24:12 AM     all      6.70      0.00      0.99      0.00      4.96      0.00      0.00      0.00     87.34
12:24:14 AM     all      0.00      0.00      0.51      0.25      0.25      0.00      0.00      0.00     98.99
12:24:16 AM     all      0.25      0.00      0.50      0.00      0.75      0.00      0.00      0.00     98.49
12:24:18 AM     all      0.00      0.00      0.25      0.00      0.76      0.00      0.00      0.00     98.99
12:24:20 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:24:22 AM     all      0.25      0.00      0.74      0.00      1.47      0.00      0.00      0.00     97.54
12:24:24 AM     all      0.25      0.00      0.25      0.00      0.00      0.00      0.00      0.00     99.49
12:24:26 AM     all      0.50      0.00      0.50      0.25      0.00      0.00      0.00      0.00     98.74
12:24:28 AM     all      1.25      0.00      0.75      0.00      0.25      0.00      0.00      0.00     97.76
12:24:30 AM     all      3.39      0.00      0.97      0.00      1.21      0.00      0.00      0.00     94.43
12:24:32 AM     all      4.11      0.00      1.21      0.24      0.00      0.00      0.00      0.00     94.44
12:24:34 AM     all      6.13      0.00      1.18      0.00      0.00      0.00      0.24      0.00     92.45
12:24:36 AM     all      3.84      0.00      0.72      0.00      1.44      0.00      0.24      0.00     93.76
12:24:38 AM     all      2.44      0.00      0.73      0.00      1.22      0.00      0.24      0.00     95.37
12:24:40 AM     all      1.99      0.00      0.50      0.00      0.00      0.00      0.25      0.00     97.27
12:24:42 AM     all      0.76      0.00      0.51      0.00      0.00      0.00      0.00      0.00     98.74
12:24:44 AM     all      0.25      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.24
12:24:46 AM     all      0.25      0.00      0.25      0.00      0.25      0.00      0.00      0.00     99.24
12:24:48 AM     all      1.26      0.00      1.01      0.00      3.02      0.00      0.00      0.00     94.71
12:24:50 AM     all      0.77      0.00      0.77      0.26      1.53      0.00      0.00      0.00     96.68
12:24:52 AM     all      0.26      0.00      0.26      0.00      0.00      0.00      0.00      0.00     99.48
12:24:54 AM     all      0.26      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.23
12:24:56 AM     all      0.25      0.00      0.50      0.00      2.99      0.00      0.00      0.00     96.27
12:24:58 AM     all      0.25      0.00      0.51      0.00      1.52      0.00      0.00      0.00     97.73
12:25:00 AM     all      0.25      0.00      0.74      0.00      2.97      0.00      0.50      0.00     95.54
12:25:02 AM     all      0.50      0.00      1.01      0.00      0.50      0.00      1.51      0.00     96.47
12:25:04 AM     all      0.50      0.00      0.76      0.00      0.76      0.00      0.50      0.00     97.48
12:25:06 AM     all      0.00      0.00      0.51      0.00      1.52      0.00      0.25      0.00     97.73
12:25:08 AM     all      0.26      0.00      0.26      0.26      0.00      0.00      0.00      0.00     99.23
12:25:10 AM     all      1.26      0.00      1.52      0.00      3.03      0.00      0.00      0.00     94.19
12:25:12 AM     all      0.00      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.49
12:25:14 AM     all      0.51      0.00      0.25      0.00      1.27      0.00      0.00      0.00     97.97
12:25:16 AM     all      0.26      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.23
12:25:18 AM     all      0.75      0.00      0.50      0.00      2.75      0.00      0.00      0.00     96.00
12:25:20 AM     all      0.25      0.00      0.49      0.25      4.17      0.00      0.00      0.00     94.85
12:25:22 AM     all      0.51      0.00      0.51      0.00      0.26      0.00      0.00      0.00     98.72
12:25:24 AM     all      1.01      0.00      1.26      0.00      1.51      0.00      0.00      0.00     96.22
12:25:26 AM     all      0.51      0.00      0.51      0.00      1.27      0.00      0.00      0.00     97.72
12:25:28 AM     all      0.26      0.00      0.51      0.00      0.26      0.00      0.00      0.00     98.98
12:25:30 AM     all      0.76      0.00      0.76      0.00      3.28      0.00      0.00      0.00     95.20
12:25:32 AM     all      0.51      0.00      0.51      0.00      0.26      0.00      0.00      0.00     98.72
12:25:34 AM     all      1.28      0.00      0.26      0.00      0.00      0.00      0.00      0.00     98.47
12:25:36 AM     all      1.51      0.00      0.76      0.00      0.00      0.00      0.00      0.00     97.73
12:25:38 AM     all      2.48      0.00      0.74      0.25      0.74      0.00      0.00      0.00     95.78
12:25:40 AM     all      1.01      0.00      1.51      0.00      0.25      0.00      0.00      0.00     97.24
12:25:42 AM     all      4.99      0.00      1.43      0.00      1.43      0.00      0.00      0.00     92.16
12:25:44 AM     all      6.73      0.00      2.24      0.00      2.24      0.00      0.00      0.00     88.79
12:25:46 AM     all      7.31      0.00      2.28      0.00      1.37      0.00      0.23      0.00     88.81
12:25:48 AM     all      7.41      0.00      1.62      0.00      1.16      0.00      0.00      0.00     89.81
12:25:50 AM     all      8.37      0.00      2.33      0.23      1.40      0.00      0.00      0.00     87.67
12:25:52 AM     all      7.13      0.00      1.84      0.00      1.38      0.00      0.46      0.00     89.20
12:25:54 AM     all      4.38      0.00      1.22      0.00      1.46      0.00      0.00      0.00     92.94
12:25:56 AM     all      5.99      0.00      1.38      0.00      1.38      0.00      0.23      0.00     91.01
12:25:58 AM     all      3.43      0.00      1.47      0.00      0.00      0.00      0.25      0.00     94.85
12:26:00 AM     all      1.00      0.00      0.75      0.00      1.50      0.00      0.00      0.00     96.75
12:26:02 AM     all      1.00      0.00      0.75      0.25      2.00      0.00      0.00      0.00     96.01
12:26:04 AM     all      0.51      0.00      1.02      0.00      0.00      0.00      0.00      0.00     98.48
12:26:06 AM     all      0.51      0.00      0.51      0.00      0.00      0.00      0.00      0.00     98.98
12:26:08 AM     all      0.00      0.00      1.02      0.26      0.00      0.00      0.00      0.00     98.72
12:26:10 AM     all      0.25      0.00      1.00      0.00      1.50      0.00      0.00      0.00     97.24
12:26:12 AM     all      0.51      0.00      0.76      0.25      0.25      0.00      0.00      0.00     98.22
12:26:14 AM     all      0.25      0.00      0.75      0.00      1.51      0.00      0.00      0.00     97.49
12:26:16 AM     all      0.00      0.00      0.77      0.00      0.00      0.00      0.00      0.00     99.23
12:26:18 AM     all      0.25      0.00      0.76      0.00      1.27      0.00      0.00      0.00     97.72
12:26:20 AM     all      0.25      0.00      0.76      0.00      0.25      0.00      0.00      0.00     98.73
12:26:22 AM     all      0.25      0.00      2.24      0.00      4.48      0.00      0.00      0.00     93.03
12:26:24 AM     all      0.25      0.00      0.75      0.00      1.75      0.00      0.25      0.00     97.00
12:26:26 AM     all      0.25      0.00      0.50      0.00      2.49      0.00      0.00      0.00     96.76
12:26:28 AM     all      0.25      0.00      0.76      0.00      0.00      0.00      0.51      0.00     98.48
12:26:30 AM     all      0.25      0.00      1.23      0.25      2.46      0.00      0.49      0.00     95.33
12:26:32 AM     all      0.00      0.00      1.76      0.00      0.00      0.00      0.76      0.00     97.48
12:26:34 AM     all      0.50      0.00      0.50      0.00      1.50      0.00      0.75      0.00     96.74
12:26:36 AM     all      0.00      0.00      0.25      0.00      1.51      0.00      0.50      0.00     97.73
12:26:38 AM     all      0.25      0.00      0.75      0.00      1.75      0.00      0.25      0.00     97.00
12:26:40 AM     all      0.00      0.00      0.25      0.00      2.75      0.00      0.00      0.00     97.00
12:26:42 AM     all      0.00      0.00      0.26      0.26      0.26      0.00      0.00      0.00     99.23
12:26:44 AM     all      0.25      0.00      0.51      0.00      1.01      0.00      0.00      0.00     98.23
12:26:46 AM     all      0.26      0.00      0.26      0.00      0.00      0.00      0.00      0.00     99.49
12:26:48 AM     all      1.55      0.00      0.26      0.00      1.55      0.00      0.00      0.00     96.64
12:26:50 AM     all      0.26      0.00      0.26      0.00      1.81      0.00      0.00      0.00     97.67
12:26:52 AM     all      0.26      0.00      0.26      0.26      2.56      0.00      0.00      0.00     96.68
12:26:54 AM     all      0.51      0.00      0.51      0.00      2.79      0.00      0.00      0.00     96.19
12:26:56 AM     all      0.26      0.00      0.26      0.00      0.00      0.00      0.00      0.00     99.47
12:26:58 AM     all      0.51      0.00      0.77      0.00      1.54      0.00      0.00      0.00     97.18
12:27:00 AM     all      1.76      0.00      0.76      0.00      2.77      0.00      0.00      0.00     94.71
12:27:02 AM     all      6.75      0.00      2.41      0.00      0.96      0.00      0.00      0.00     89.88
12:27:04 AM     all      5.66      0.00      2.36      0.24      2.59      0.00      0.00      0.00     89.15
12:27:06 AM     all     11.53      0.00      3.33      0.00      1.55      0.00      0.00      0.00     83.59
12:27:08 AM     all     13.85      0.00      2.38      0.00      3.46      0.00      0.43      0.00     79.87
12:27:10 AM     all      9.85      0.00      5.14      0.00      4.28      0.00      0.43      0.00     80.30
12:27:12 AM     all     10.11      0.00      2.07      0.00      0.00      0.00      0.69      0.00     87.13
12:27:14 AM     all      2.45      0.00      0.49      0.00      3.92      0.00      0.25      0.00     92.89
12:27:16 AM     all      1.02      0.00      0.77      0.00      1.02      0.00      0.26      0.00     96.93
12:27:18 AM     all      0.25      0.00      0.51      0.00      3.05      0.00      0.00      0.00     96.18
12:27:20 AM     all      0.26      0.00      0.78      0.00      1.57      0.00      0.00      0.00     97.39
12:27:22 AM     all      0.00      0.00      0.52      0.26      1.55      0.00      0.00      0.00     97.67
12:27:24 AM     all      0.51      0.00      0.51      0.00      2.54      0.00      0.00      0.00     96.44
12:27:26 AM     all      0.26      0.00      0.51      0.00      1.54      0.00      0.26      0.00     97.43
12:27:28 AM     all      0.25      0.00      1.51      0.00      2.27      0.00      0.50      0.00     95.47
