Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:20:30  1515367             1749          417          1332            502803          768                745                0                         2928     
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:20:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:36  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:38  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:42  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:54  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:20:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:12  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:28  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:30  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:36  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:38  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:40  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:42  1515367             1749          417          1332            502803          768                745                0                         2928     
