Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:26:21 PM     18.00      0.00      1.00
05:26:23 PM   -168.18      0.00      1.52
05:26:25 PM    123.62      0.00      1.01
05:26:27 PM    -61.93      0.00      2.03
05:26:29 PM    -87.94      0.00      1.51
05:26:31 PM    105.56      0.00      1.01
05:26:33 PM   -358.29      0.00      0.00
05:26:35 PM    125.38      0.00      2.03
05:26:37 PM     66.33      0.00      1.01
05:26:39 PM     18.50      0.50      2.00
05:26:41 PM     92.93      0.00      0.51
05:26:43 PM   -172.00      0.00      2.00
05:26:45 PM    191.33      0.00      1.53
05:26:47 PM    -78.61      0.00      1.00
05:26:49 PM     84.18      0.00      2.04
05:26:51 PM    -39.50      0.00      1.50
05:26:53 PM    -32.83      0.00      1.52
05:26:55 PM    143.43      0.00      1.52
05:26:57 PM  -1248.48      0.00      1.01
05:26:59 PM   1177.27      0.00      2.53
05:27:01 PM      9.64      0.00      1.52
05:27:03 PM    -85.86      0.00      2.53
05:27:05 PM    -27.27      0.00      1.01
05:27:07 PM  -1148.73      0.00      3.05
05:27:09 PM   1104.55      0.00      1.52
05:27:11 PM  -1310.00      0.00      0.00
05:27:13 PM    142.21      0.00      1.51
05:27:15 PM   1065.82      0.00      3.06
05:27:17 PM    101.02      0.00      1.53
05:27:19 PM     96.45      0.00      1.52
05:27:21 PM     34.00      0.00      0.50
05:27:23 PM    -75.25      0.00      2.02
05:27:25 PM   -111.62      0.00      1.01
05:27:27 PM     84.34      0.00      1.52
05:27:29 PM     35.53      0.00      2.03
05:27:31 PM    -40.91      0.00      2.02
05:27:33 PM     62.00      0.00      1.50
05:27:35 PM     -5.50      0.00      1.50
05:27:37 PM     -2.02      0.00      1.52
05:27:39 PM    -19.19      0.00      1.01
05:27:41 PM    -96.45      0.00      1.52
05:27:43 PM     33.00      0.00      2.00
05:27:45 PM     18.69      0.00      1.01
05:27:47 PM    -12.69      0.00      2.03
05:27:49 PM    -59.09      0.51      1.01
05:27:51 PM    -16.75      0.00      0.51
05:27:53 PM    -35.32      0.00      1.49
05:27:55 PM    190.95      0.00      2.51
05:27:57 PM  -1230.46      0.00      1.52
05:27:59 PM   1250.00      0.00      1.00
05:28:01 PM     12.56      0.00      2.01
05:28:03 PM   -173.98      0.00      2.04
05:28:05 PM  -1412.50      0.00      1.50
05:28:07 PM    483.92      0.00      1.51
05:28:09 PM    908.04      0.00      2.01
05:28:11 PM  -1046.97      0.00      2.02
05:28:13 PM      0.00      0.00      1.52
05:28:15 PM   1056.06      0.00      1.52
05:28:17 PM      1.50      0.00      2.00
05:28:19 PM    112.87      0.00      0.50
05:28:21 PM   -129.59      0.00      1.53
05:28:23 PM    145.92      0.00      2.04
05:28:25 PM    -76.88      0.00      1.51
05:28:27 PM    157.58      0.00      1.52
05:28:29 PM   -184.34      0.00      0.51
05:28:31 PM   -156.28      0.00      2.01
05:28:33 PM    -38.69      0.00      1.01
05:28:35 PM    185.86      0.00      2.02
05:28:37 PM     48.74      0.00      1.01
05:28:39 PM    -67.68      0.00      1.52
05:28:41 PM     65.48      0.00      2.03
05:28:43 PM     30.46      0.00      1.52
05:28:45 PM   -142.64      0.00      3.05
05:28:47 PM    -31.31      0.00      1.52
05:28:49 PM     29.44      0.00      1.02
05:28:51 PM    111.06      0.00      2.01
05:28:53 PM   -205.05      0.00      1.52
05:28:55 PM    174.37      0.00      1.01
05:28:57 PM  -1309.50      0.00      1.50
05:28:59 PM   1070.71      0.00      1.01
05:29:01 PM      0.00      0.00      2.53
05:29:03 PM    110.10      0.00      1.52
05:29:05 PM    -54.12      0.00      2.06
05:29:07 PM  -1201.51      0.00      1.51
05:29:09 PM   1206.53      0.00      1.51
05:29:11 PM  -1449.49      0.00      1.52
05:29:13 PM     93.97      0.00      1.01
05:29:15 PM   1094.92      0.00      1.52
05:29:17 PM     98.48      0.00      2.54
05:29:19 PM     30.96      0.00      1.02
05:29:21 PM    -66.83      0.00      1.51
05:29:23 PM     97.49      0.00      1.01
05:29:25 PM      1.00      0.00      2.50
05:29:27 PM      8.54      0.00      1.01
05:29:29 PM     -0.51      0.00      1.01
05:29:31 PM    110.50      0.00      2.50
05:29:33 PM    -15.74      0.51      1.02
05:29:35 PM     35.53      0.00      2.54
05:29:37 PM    -15.66      0.00      1.01
05:29:39 PM    -15.31      0.00      1.02
05:29:41 PM    -46.19      0.00      2.03
05:29:43 PM     78.68      0.00      1.02
05:29:45 PM    -45.96      0.00      1.52
05:29:47 PM    -46.50      0.00      1.50
05:29:49 PM     26.26      0.00      1.01
05:29:51 PM    -93.43      0.00      1.01
05:29:53 PM      3.03      0.00      1.52
05:29:55 PM    203.02      0.00      1.01
05:29:57 PM  -1184.18      0.00      2.04
05:29:59 PM   1102.02      0.00      2.02
05:30:01 PM    120.60      0.00      2.01
05:30:03 PM    -31.16      0.00      4.02
05:30:05 PM  -1619.60      0.00      1.51
05:30:07 PM    396.00      0.00      1.00
05:30:09 PM   1134.34      0.51      2.53
05:30:11 PM  -1329.15      0.00      1.01
05:30:13 PM    165.66      0.00      2.53
05:30:15 PM   1141.92      0.00      1.01
05:30:17 PM   -139.50      0.00      1.50
05:30:19 PM    127.92      0.00      2.03
05:30:21 PM    -15.74      0.00      1.02
05:30:23 PM     37.56      0.00      2.54
05:30:25 PM   -127.27      0.00      0.51
05:30:27 PM    125.87      0.00      1.49
05:30:29 PM     34.34      0.00      1.01
05:30:31 PM    -77.89      0.00      1.51
05:30:33 PM    194.44      0.00      1.52
05:30:35 PM    -82.41      0.00      1.01
05:30:37 PM     63.13      0.00      1.01
05:30:39 PM     15.00      0.00      2.00
05:30:41 PM   -109.14      0.00      1.52
05:30:43 PM    -85.43      0.00      1.51
05:30:45 PM     63.96      0.00      1.02
05:30:47 PM     51.01      0.00      1.52
05:30:49 PM     66.33      0.00      1.51
05:30:51 PM    -11.06      0.00      2.01
05:30:53 PM     60.61      0.00      1.01
05:30:55 PM     47.45      0.00      2.04
05:30:57 PM  -1305.03      0.00      1.01
05:30:59 PM   1189.45      0.00      1.51
05:31:01 PM   -155.56      0.00      2.53
05:31:03 PM     97.98      0.00      2.53
05:31:05 PM   -100.51      0.00      1.02
05:31:07 PM  -1152.02      0.00      0.51
05:31:09 PM   1198.48      0.00      1.52
05:31:11 PM  -1194.95      0.00      2.53
