Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:57:12  1854229826 107155139 107155139    41252           1854001624 107383341 
22:57:14  1854240348 107155139 107155139    41252           1854012146 107383341 
22:57:16  1854247315 107155139 107155139    41252           1854019113 107383341 
22:57:18  1854256116 107155139 107155139    41252           1854027914 107383341 
22:57:20  1854265239 107155139 107155139    41252           1854037037 107383341 
22:57:22  1854273533 107155139 107155139    41252           1854045331 107383341 
22:57:24  1854280135 107155139 107155139    41252           1854051933 107383341 
22:57:26  1854287065 107155139 107155139    41252           1854058863 107383341 
22:57:28  1854293512 107155139 107155139    41252           1854065310 107383341 
22:57:30  1854300740 107155139 107155139    41252           1854072538 107383341 
22:57:32  1854307626 107155139 107155139    41252           1854079424 107383341 
22:57:34  1854314183 107155139 107155139    41252           1854085981 107383341 
22:57:36  1854321092 107155139 107155139    41252           1854092890 107383341 
22:57:38  1854327749 107155139 107155139    41252           1854099547 107383341 
22:57:40  1854334555 107155139 107155139    41252           1854106353 107383341 
22:57:42  1854341113 107155139 107155139    41252           1854112911 107383341 
22:57:44  1854347629 107155139 107155139    41252           1854119427 107383341 
22:57:46  1854354604 107155139 107155139    41252           1854126402 107383341 
22:57:48  1854361469 107155139 107155139    41252           1854133267 107383341 
22:57:50  1854368254 107155139 107155139    41252           1854140052 107383341 
22:57:52  1854375174 107155139 107155139    41252           1854146972 107383341 
22:57:54  1854381293 107155139 107155139    41252           1854153091 107383341 
22:57:56  1854389981 107155139 107155139    41252           1854161779 107383341 
22:57:58  1854404225 107155139 107155139    41252           1854176023 107383341 
22:58:00  1854410800 107155139 107155139    41252           1854182598 107383341 
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:58:02  1854419479 107155139 107155139    41252           1854191277 107383341 
22:58:04  1854428238 107155139 107155139    41252           1854200036 107383341 
22:58:06  1854439365 107155139 107155139    41252           1854211163 107383341 
22:58:08  1854452182 107155139 107155139    41252           1854223980 107383341 
22:58:10  1854458886 107155139 107155139    41252           1854230684 107383341 
22:58:12  1854473608 107155139 107155139    41252           1854245406 107383341 
22:58:14  1854485000 107155139 107155139    41252           1854256798 107383341 
22:58:16  1854491972 107155139 107155139    41252           1854263770 107383341 
22:58:18  1854500748 107155139 107155139    41252           1854272546 107383341 
22:58:20  1854509631 107155139 107155139    41252           1854281429 107383341 
22:58:22  1854519080 107155139 107155139    41252           1854290878 107383341 
22:58:24  1854526153 107155139 107155139    41252           1854297951 107383341 
22:58:26  1854532264 107155139 107155139    41252           1854304062 107383341 
22:58:28  1854538903 107155139 107155139    41252           1854310701 107383341 
22:58:30  1854545763 107155139 107155139    41252           1854317561 107383341 
22:58:32  1854551713 107155139 107155139    41252           1854323511 107383341 
22:58:34  1854558398 107155139 107155139    41252           1854330196 107383341 
22:58:36  1854562764 107155139 107155139    41252           1854334562 107383341 
22:58:38  1854568926 107155139 107155139    41252           1854340724 107383341 
22:58:40  1854575826 107155139 107155139    41252           1854347624 107383341 
22:58:42  1854582790 107155139 107155139    41252           1854354588 107383341 
22:58:44  1854589579 107155139 107155139    41252           1854361377 107383341 
22:58:46  1854595989 107155139 107155139    41252           1854367787 107383341 
22:58:48  1854602159 107155139 107155139    41252           1854373957 107383341 
22:58:50  1854609381 107155139 107155139    41252           1854381179 107383341 
22:58:52  1854616020 107155139 107155139    41252           1854387818 107383341 
22:58:54  1854625026 107155139 107155139    41252           1854396824 107383341 
22:58:56  1854638484 107155139 107155139    41252           1854410282 107383341 
22:58:58  1854648266 107155139 107155139    41252           1854420064 107383341 
22:59:00  1854655168 107155139 107155139    41252           1854426966 107383341 
22:59:02  1854664228 107155139 107155139    41252           1854436026 107383341 
22:59:04  1854675388 107155139 107155139    41252           1854447186 107383341 
22:59:06  1854686688 107155139 107155139    41252           1854458486 107383341 
22:59:08  1854699083 107155139 107155139    41252           1854470881 107383341 
22:59:10  1854706124 107155139 107155139    41252           1854477922 107383341 
22:59:12  1854721430 107155139 107155139    41252           1854493228 107383341 
22:59:14  1854732311 107155139 107155139    41252           1854504109 107383341 
22:59:16  1854739069 107155139 107155139    41252           1854510867 107383341 
22:59:18  1854745784 107155139 107155139    41252           1854517582 107383341 
22:59:20  1854753580 107155139 107155139    41252           1854525378 107383341 
22:59:22  1854762723 107155139 107155139    41252           1854534521 107383341 
22:59:24  1854769129 107155139 107155139    41252           1854540927 107383341 
22:59:26  1854775858 107155139 107155139    41252           1854547656 107383341 
22:59:28  1854782707 107155197 107155197    41252           1854554505 107383399 
22:59:30  1854789918 107155231 107155231    41252           1854561716 107383433 
22:59:32  1854796398 107155231 107155231    41252           1854568196 107383433 
22:59:34  1854803345 107155231 107155231    41252           1854575143 107383433 
22:59:36  1854810301 107155231 107155231    41252           1854582099 107383433 
22:59:38  1854817182 107155231 107155231    41252           1854588980 107383433 
22:59:40  1854823707 107155231 107155231    41252           1854595505 107383433 
22:59:42  1854831028 107155231 107155231    41252           1854602826 107383433 
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:59:44  1854837481 107155231 107155231    41252           1854609279 107383433 
22:59:46  1854844228 107155231 107155231    41252           1854616026 107383433 
22:59:48  1854850645 107155231 107155231    41252           1854622443 107383433 
22:59:50  1854857356 107155231 107155231    41252           1854629154 107383433 
22:59:52  1854863934 107155231 107155231    41252           1854635732 107383433 
22:59:54  1854873440 107155231 107155231    41252           1854645238 107383433 
22:59:56  1854887504 107155231 107155231    41252           1854659302 107383433 
22:59:58  1854894312 107155231 107155231    41252           1854666110 107383433 
23:00:00  1854900238 107155231 107155231    41252           1854672036 107383433 
23:00:02  1854909605 107155231 107155231    41252           1854681403 107383433 
23:00:04  1854918014 107155231 107155231    41252           1854689812 107383433 
23:00:06  1854929573 107155231 107155231    41252           1854701371 107383433 
23:00:08  1854941697 107155231 107155231    41252           1854713495 107383433 
23:00:10  1854948701 107155231 107155231    41252           1854720499 107383433 
23:00:12  1854963768 107155231 107155231    41252           1854735566 107383433 
23:00:14  1854975125 107155231 107155231    41252           1854746923 107383433 
23:00:16  1854981471 107155231 107155231    41252           1854753269 107383433 
23:00:18  1854990254 107155231 107155231    41252           1854762052 107383433 
23:00:20  1854998984 107155231 107155231    41252           1854770782 107383433 
23:00:22  1855008146 107155231 107155231    41252           1854779944 107383433 
23:00:24  1855014767 107155231 107155231    41252           1854786565 107383433 
23:00:26  1855021266 107155231 107155231    41252           1854793064 107383433 
23:00:28  1855028049 107155231 107155231    41252           1854799847 107383433 
23:00:30  1855035110 107155231 107155231    41252           1854806908 107383433 
23:00:32  1855041686 107155231 107155231    41252           1854813484 107383433 
23:00:34  1855048854 107155231 107155231    41252           1854820652 107383433 
23:00:36  1855055284 107155231 107155231    41252           1854827082 107383433 
23:00:38  1855059861 107155231 107155231    41252           1854831659 107383433 
23:00:40  1855065830 107155231 107155231    41252           1854837628 107383433 
23:00:42  1855072742 107155231 107155231    41252           1854844540 107383433 
23:00:44  1855079127 107155231 107155231    41252           1854850925 107383433 
23:00:46  1855085973 107155231 107155231    41252           1854857771 107383433 
23:00:48  1855092259 107155231 107155231    41252           1854864057 107383433 
23:00:50  1855099396 107155231 107155231    41252           1854871194 107383433 
23:00:52  1855105741 107155231 107155231    41252           1854877539 107383433 
23:00:54  1855114548 107155231 107155231    41252           1854886346 107383433 
23:00:56  1855128517 107155231 107155231    41252           1854900315 107383433 
23:00:58  1855137403 107155231 107155231    41252           1854909201 107383433 
23:01:00  1855146117 107155231 107155231    41252           1854917915 107383433 
23:01:02  1855155142 107155231 107155231    41252           1854926940 107383433 
23:01:04  1855163881 107155231 107155231    41252           1854935679 107383433 
23:01:06  1855174613 107155231 107155231    41252           1854946411 107383433 
23:01:08  1855187161 107155231 107155231    41252           1854958959 107383433 
23:01:10  1855194360 107155231 107155231    41252           1854966158 107383433 
23:01:12  1855209654 107155231 107155231    41252           1854981452 107383433 
