Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:25:11 PM      0.51      0.00   9477.16  10192.89
05:25:13 PM      0.00      0.00   8869.19   9540.91
05:25:15 PM      0.51      0.00   8844.44  11474.24
05:25:17 PM      0.51      0.00   9780.81  11479.80
05:25:19 PM      0.00      0.00   8488.50  10922.00
05:25:21 PM      0.51      0.00   8452.53  10678.28
05:25:23 PM      0.50      0.00   8260.30  10500.00
05:25:25 PM      0.00      0.00   8164.32  10896.48
05:25:27 PM      0.51      0.00   8591.84  10981.12
05:25:29 PM      0.50      0.00   8278.22   9661.88
05:25:31 PM      0.00      0.00   7553.54   9552.53
05:25:33 PM      0.50      0.00   7512.50   9206.00
05:25:35 PM      0.51      0.00   8684.34   9881.82
05:25:37 PM      0.00      0.00   9123.23  11181.82
05:25:39 PM      0.51      0.00   8776.26  10655.56
05:25:41 PM      0.51      0.00   9327.27  10484.85
05:25:43 PM      0.50      0.00   8769.35  11252.26
05:25:45 PM      0.51      0.00   8900.00  11793.33
05:25:47 PM      0.50      0.00   9649.50  11193.50
05:25:49 PM      0.00      0.00   8992.42  11746.97
05:25:51 PM      0.51      0.00   9947.21  11170.56
05:25:53 PM      0.50      0.00   8544.28  10004.98
05:25:55 PM      0.00      0.00   9940.40  11354.55
05:25:57 PM      0.51      0.00   8739.09  11550.76
05:25:59 PM      0.50      0.00   7552.26   9146.23
05:26:01 PM      0.00      0.00   9027.50   8575.00
05:26:03 PM      0.51      0.00   9305.10  11033.16
05:26:05 PM      0.50      0.00   8503.50  10961.00
05:26:07 PM      0.00      0.00   8846.97  10819.19
05:26:09 PM      0.50      0.00   8833.67  10644.22
05:26:11 PM      0.50      0.00   9070.35  10232.16
05:26:13 PM      0.00      0.00   7527.50   9549.00
05:26:15 PM      0.51      0.00   8680.10  11340.82
05:26:17 PM      0.51      0.00   9837.37  10959.60
05:26:19 PM      0.00      0.00   7744.44  10018.69
05:26:21 PM      0.50      0.00   9144.00  10805.50
05:26:23 PM      0.50      0.50   9066.83  10322.11
05:26:25 PM      0.00      0.00   8909.09  10946.46
05:26:27 PM      0.51      0.00   9081.31  10519.19
05:26:29 PM      0.50      0.00  11882.91   9524.12
05:26:31 PM      0.00      0.00   8902.54  10675.63
05:26:33 PM      0.50      0.00   8857.79  11227.64
05:26:35 PM      0.51      0.00   8674.24  10976.26
05:26:37 PM      0.51      0.00   9396.46   9798.99
05:26:39 PM      0.50      0.00   8916.42   9601.49
05:26:41 PM      0.51      0.51  11939.39  10365.15
05:26:43 PM      0.00      0.00   8940.70  11277.89
05:26:45 PM      0.51      0.00   7236.22   9111.73
05:26:47 PM      0.50      0.00   7027.86   9301.99
05:26:49 PM      0.00      0.00   9044.16  10527.92
05:26:51 PM      0.50      0.00   9089.00   9363.00
05:26:53 PM      0.51      0.00   7283.84   9084.34
05:26:55 PM      0.00      0.00   9460.10  10566.67
05:26:57 PM      0.51      0.00  10372.08  10434.01
05:26:59 PM      0.51      0.00   8829.29  10313.13
05:27:01 PM      0.00      0.00   7959.80   9068.84
05:27:03 PM      0.51      0.00   9128.43  10219.80
05:27:05 PM      0.51      0.00   9953.30  10535.53
05:27:07 PM      0.00      0.00   7982.32  10117.68
05:27:09 PM      0.51      0.00   8989.90  11098.99
05:27:11 PM      0.50      0.00   8299.50   9875.38
05:27:13 PM      0.00      0.00  11397.49  10382.91
05:27:15 PM      0.51      0.00  13974.11   9453.30
05:27:17 PM      0.51      0.00   8881.63  10414.29
05:27:19 PM      0.00      0.00   9715.23  10387.31
05:27:21 PM      0.50      0.00   7615.08   8861.81
05:27:23 PM      0.51      0.51   8899.49   9995.96
05:27:25 PM      0.00      0.00   8804.02  10068.84
05:27:27 PM      0.51      0.00   8888.38   9995.45
05:27:29 PM      0.51      0.51   9069.90  10066.33
05:27:31 PM      0.00      0.00   8862.31   9914.57
05:27:33 PM      1.00      0.00   8665.17   9463.68
05:27:35 PM      0.51      0.00   8965.66   9765.66
05:27:37 PM      0.00      0.00  12937.88  10059.60
05:27:39 PM      0.51      0.00   8774.75  10784.34
