Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:29:05 PM     15.38  39098.97
05:29:07 PM     11.06  32807.54
05:29:09 PM      7.04  38097.99
05:29:11 PM     13.13  38891.92
05:29:13 PM     12.06  37998.49
05:29:15 PM     13.20  35834.52
05:29:17 PM      7.11  29293.91
05:29:19 PM      8.67  32867.35
05:29:21 PM      7.54  36623.12
05:29:23 PM      6.00  32423.50
05:29:25 PM      6.03  37449.25
05:29:27 PM      6.03  33186.43
05:29:29 PM      6.03  35052.76
05:29:31 PM      7.50  33780.50
05:29:33 PM      6.12  31543.88
05:29:35 PM      6.57  33268.18
05:29:37 PM      6.09  34916.75
05:29:39 PM      6.12  31291.84
05:29:41 PM      6.06  37842.93
05:29:43 PM      6.03  29549.25
05:29:45 PM      6.15  35220.00
05:29:47 PM      5.97  36390.55
05:29:49 PM      6.60  36663.45
05:29:51 PM      7.54  36957.29
05:29:53 PM      4.57  37758.88
05:29:55 PM      6.03  36639.20
05:29:57 PM     18.37  37420.41
05:29:59 PM      7.54  33527.64
05:30:01 PM      7.58  37557.07
05:30:03 PM      8.50  38128.50
05:30:05 PM     12.06  28899.50
05:30:07 PM     12.00  38235.00
05:30:09 PM      7.61  33753.81
05:30:11 PM     11.56  33359.80
05:30:13 PM     13.07  39373.87
05:30:15 PM     14.65  38739.39
05:30:17 PM      8.54  38317.59
05:30:19 PM      8.63  30013.71
05:30:21 PM      8.04  30003.02
05:30:23 PM      6.12  37713.78
05:30:25 PM      6.06  37653.54
05:30:27 PM      5.97  38417.91
05:30:29 PM      6.06  38121.72
05:30:31 PM      7.07  37380.30
05:30:33 PM      3.52  33293.97
05:30:35 PM      6.50  37396.50
05:30:37 PM      6.06  33498.48
05:30:39 PM      6.06  35572.22
05:30:41 PM      6.09  35002.03
05:30:43 PM      6.00  37086.00
05:30:45 PM      6.09  37275.63
05:30:47 PM      6.06  36895.96
05:30:49 PM      6.06  37643.43
05:30:51 PM      7.54  37228.14
05:30:53 PM      6.06  37130.30
05:30:55 PM      8.63  37471.07
05:30:57 PM     18.69  32407.07
05:30:59 PM      8.04  37390.95
05:31:01 PM      7.58  37879.29
05:31:03 PM      7.54  34708.04
05:31:05 PM     12.24  31520.92
05:31:07 PM     11.56  38440.70
05:31:09 PM      7.61  29365.99
05:31:11 PM     13.20  38849.24
05:31:13 PM     10.15  33546.19
05:31:15 PM     13.13  39024.75
05:31:17 PM      8.50  31195.00
05:31:19 PM      8.54  31916.58
05:31:21 PM      8.08  29746.46
05:31:23 PM      6.03  33154.27
05:31:25 PM      6.03  28611.06
05:31:27 PM      6.03  37174.87
05:31:29 PM      6.00  36833.00
05:31:31 PM      7.65  38440.82
05:31:33 PM      6.03  36616.08
05:31:35 PM      6.50  37931.00
05:31:37 PM      6.63  34545.92
05:31:39 PM      6.00  33881.50
05:31:41 PM      6.03  39286.43
05:31:43 PM      6.12  39018.37
05:31:45 PM      6.44  29552.48
05:31:47 PM      6.09  30915.74
05:31:49 PM      5.50  34796.50
05:31:51 PM      5.08  34013.71
05:31:53 PM      6.09  37153.81
05:31:55 PM      7.58  30453.54
05:31:57 PM     18.18  32520.20
05:31:59 PM      7.61  37861.93
05:32:01 PM      7.46  32119.90
05:32:03 PM      7.61  39111.17
05:32:05 PM     11.62  38988.38
05:32:07 PM     11.56  38275.88
05:32:09 PM      7.50  37096.50
05:32:11 PM     12.12  37679.80
05:32:13 PM     13.13  33955.05
05:32:15 PM     14.87  38886.15
05:32:17 PM      8.67  37045.92
05:32:19 PM      8.63  29623.86
05:32:21 PM      7.50  37673.00
05:32:23 PM      6.06  38002.02
05:32:25 PM      5.97  37486.07
05:32:27 PM      6.12  38334.69
05:32:29 PM      4.57  30870.05
